State,Date,Death,Dates
Texas,3/21/20,1,2020-03-21
Utah,3/21/20,0,2020-03-21
Vermont,3/21/20,0,2020-03-21
Virgin Islands,3/21/20,0,2020-03-21
Virginia,3/21/20,1,2020-03-21
Washington,3/21/20,11,2020-03-21
West Virginia,3/21/20,0,2020-03-21
Wisconsin,3/21/20,0,2020-03-21
Wyoming,3/21/20,0,2020-03-21
Alabama,3/22/20,0,2020-03-22
Alaska,3/22/20,0,2020-03-22
American Samoa,3/22/20,0,2020-03-22
Arizona,3/22/20,1,2020-03-22
Arkansas,3/22/20,0,2020-03-22
California,3/22/20,10,2020-03-22
Colorado,3/22/20,1,2020-03-22
Connecticut,3/22/20,4,2020-03-22
Delaware,3/22/20,0,2020-03-22
Diamond Princess,3/22/20,0,2020-03-22
District of Columbia,3/22/20,2,2020-03-22
Florida,3/22/20,0,2020-03-22
Georgia,3/22/20,5,2020-03-22
Grand Princess,3/22/20,0,2020-03-22
Guam,3/22/20,1,2020-03-22
Hawaii,3/22/20,0,2020-03-22
Idaho,3/22/20,0,2020-03-22
Illinois,3/22/20,3,2020-03-22
Indiana,3/22/20,5,2020-03-22
Iowa,3/22/20,0,2020-03-22
Kansas,3/22/20,0,2020-03-22
Kentucky,3/22/20,0,2020-03-22
Louisiana,3/22/20,0,2020-03-22
Maine,3/22/20,0,2020-03-22
Maryland,3/22/20,1,2020-03-22
Massachusetts,3/22/20,4,2020-03-22
Michigan,3/22/20,6,2020-03-22
Minnesota,3/22/20,0,2020-03-22
Mississippi,3/22/20,0,2020-03-22
Missouri,3/22/20,0,2020-03-22
Montana,3/22/20,0,2020-03-22
Nebraska,3/22/20,0,2020-03-22
Nevada,3/22/20,0,2020-03-22
New Hampshire,3/22/20,0,2020-03-22
New Jersey,3/22/20,7,2020-03-22
New Mexico,3/22/20,0,2020-03-22
New York,3/22/20,54,2020-03-22
North Carolina,3/22/20,0,2020-03-22
North Dakota,3/22/20,0,2020-03-22
Northern Mariana Islands,3/22/20,0,2020-03-22
Ohio,3/22/20,3,2020-03-22
Oklahoma,3/22/20,1,2020-03-22
Oregon,3/22/20,1,2020-03-22
Pennsylvania,3/22/20,2,2020-03-22
Puerto Rico,3/22/20,0,2020-03-22
Rhode Island,3/22/20,0,2020-03-22
South Carolina,3/22/20,0,2020-03-22
South Dakota,3/22/20,0,2020-03-22
Tennessee,3/22/20,1,2020-03-22
Texas,3/22/20,2,2020-03-22
Utah,3/22/20,1,2020-03-22
Vermont,3/22/20,0,2020-03-22
Virgin Islands,3/22/20,0,2020-03-22
Virginia,3/22/20,3,2020-03-22
Washington,3/22/20,3,2020-03-22
West Virginia,3/22/20,0,2020-03-22
Wisconsin,3/22/20,0,2020-03-22
Wyoming,3/22/20,0,2020-03-22
Alabama,3/23/20,0,2020-03-23
Alaska,3/23/20,0,2020-03-23
American Samoa,3/23/20,0,2020-03-23
Arizona,3/23/20,0,2020-03-23
Arkansas,3/23/20,0,2020-03-23
California,3/23/20,4,2020-03-23
Colorado,3/23/20,0,2020-03-23
Connecticut,3/23/20,2,2020-03-23
Delaware,3/23/20,0,2020-03-23
Diamond Princess,3/23/20,0,2020-03-23
District of Columbia,3/23/20,0,2020-03-23
Florida,3/23/20,5,2020-03-23
Georgia,3/23/20,0,2020-03-23
Grand Princess,3/23/20,0,2020-03-23
Guam,3/23/20,0,2020-03-23
Hawaii,3/23/20,0,2020-03-23
Idaho,3/23/20,0,2020-03-23
Illinois,3/23/20,3,2020-03-23
Indiana,3/23/20,5,2020-03-23
Iowa,3/23/20,0,2020-03-23
Kansas,3/23/20,0,2020-03-23
Kentucky,3/23/20,1,2020-03-23
Louisiana,3/23/20,15,2020-03-23
Maine,3/23/20,0,2020-03-23
Maryland,3/23/20,0,2020-03-23
Massachusetts,3/23/20,4,2020-03-23
Michigan,3/23/20,6,2020-03-23
Minnesota,3/23/20,0,2020-03-23
Mississippi,3/23/20,0,2020-03-23
Missouri,3/23/20,1,2020-03-23
Montana,3/23/20,0,2020-03-23
Nebraska,3/23/20,0,2020-03-23
Nevada,3/23/20,2,2020-03-23
New Hampshire,3/23/20,1,2020-03-23
New Jersey,3/23/20,11,2020-03-23
New Mexico,3/23/20,0,2020-03-23
New York,3/23/20,102,2020-03-23
North Carolina,3/23/20,0,2020-03-23
North Dakota,3/23/20,0,2020-03-23
Northern Mariana Islands,3/23/20,0,2020-03-23
Ohio,3/23/20,4,2020-03-23
Oklahoma,3/23/20,0,2020-03-23
Oregon,3/23/20,0,2020-03-23
Pennsylvania,3/23/20,2,2020-03-23
Puerto Rico,3/23/20,1,2020-03-23
Rhode Island,3/23/20,0,2020-03-23
South Carolina,3/23/20,2,2020-03-23
South Dakota,3/23/20,0,2020-03-23
Tennessee,3/23/20,0,2020-03-23
Texas,3/23/20,1,2020-03-23
Utah,3/23/20,0,2020-03-23
Vermont,3/23/20,3,2020-03-23
Virgin Islands,3/23/20,0,2020-03-23
Virginia,3/23/20,0,2020-03-23
Washington,3/23/20,12,2020-03-23
West Virginia,3/23/20,0,2020-03-23
Wisconsin,3/23/20,0,2020-03-23
Wyoming,3/23/20,0,2020-03-23
Alabama,3/24/20,0,2020-03-24
Alaska,3/24/20,0,2020-03-24
American Samoa,3/24/20,0,2020-03-24
Arizona,3/24/20,3,2020-03-24
Arkansas,3/24/20,2,2020-03-24
California,3/24/20,11,2020-03-24
Colorado,3/24/20,4,2020-03-24
Connecticut,3/24/20,2,2020-03-24
Delaware,3/24/20,0,2020-03-24
Diamond Princess,3/24/20,0,2020-03-24
District of Columbia,3/24/20,0,2020-03-24
Florida,3/24/20,0,2020-03-24
Georgia,3/24/20,7,2020-03-24
Grand Princess,3/24/20,0,2020-03-24
Guam,3/24/20,0,2020-03-24
Hawaii,3/24/20,1,2020-03-24
Idaho,3/24/20,0,2020-03-24
Illinois,3/24/20,4,2020-03-24
Indiana,3/24/20,5,2020-03-24
Iowa,3/24/20,0,2020-03-24
Kansas,3/24/20,0,2020-03-24
Kentucky,3/24/20,0,2020-03-24
Louisiana,3/24/20,11,2020-03-24
Maine,3/24/20,0,2020-03-24
Maryland,3/24/20,1,2020-03-24
Massachusetts,3/24/20,2,2020-03-24
Michigan,3/24/20,13,2020-03-24
Minnesota,3/24/20,0,2020-03-24
Mississippi,3/24/20,0,2020-03-24
Missouri,3/24/20,4,2020-03-24
Montana,3/24/20,0,2020-03-24
Nebraska,3/24/20,0,2020-03-24
Nevada,3/24/20,0,2020-03-24
New Hampshire,3/24/20,0,2020-03-24
New Jersey,3/24/20,20,2020-03-24
New Mexico,3/24/20,0,2020-03-24
New York,3/24/20,124,2020-03-24
North Carolina,3/24/20,0,2020-03-24
North Dakota,3/24/20,0,2020-03-24
Northern Mariana Islands,3/24/20,0,2020-03-24
Ohio,3/24/20,4,2020-03-24
Oklahoma,3/24/20,1,2020-03-24
Oregon,3/24/20,3,2020-03-24
Pennsylvania,3/24/20,2,2020-03-24
Puerto Rico,3/24/20,0,2020-03-24
Rhode Island,3/24/20,0,2020-03-24
South Carolina,3/24/20,0,2020-03-24
South Dakota,3/24/20,0,2020-03-24
Tennessee,3/24/20,0,2020-03-24
Texas,3/24/20,5,2020-03-24
Utah,3/24/20,0,2020-03-24
Vermont,3/24/20,2,2020-03-24
Virgin Islands,3/24/20,0,2020-03-24
Virginia,3/24/20,3,2020-03-24
Washington,3/24/20,7,2020-03-24
West Virginia,3/24/20,0,2020-03-24
Wisconsin,3/24/20,2,2020-03-24
Wyoming,3/24/20,0,2020-03-24
Alabama,3/25/20,1,2020-03-25
Alaska,3/25/20,1,2020-03-25
American Samoa,3/25/20,0,2020-03-25
Arizona,3/25/20,1,2020-03-25
Arkansas,3/25/20,0,2020-03-25
California,3/25/20,15,2020-03-25
Colorado,3/25/20,9,2020-03-25
Connecticut,3/25/20,7,2020-03-25
Delaware,3/25/20,0,2020-03-25
Diamond Princess,3/25/20,0,2020-03-25
District of Columbia,3/25/20,0,2020-03-25
Florida,3/25/20,5,2020-03-25
Georgia,3/25/20,8,2020-03-25
Grand Princess,3/25/20,0,2020-03-25
Guam,3/25/20,0,2020-03-25
Hawaii,3/25/20,1,2020-03-25
Idaho,3/25/20,0,2020-03-25
Illinois,3/25/20,3,2020-03-25
Indiana,3/25/20,6,2020-03-25
Iowa,3/25/20,1,2020-03-25
Kansas,3/25/20,1,2020-03-25
Kentucky,3/25/20,1,2020-03-25
Louisiana,3/25/20,19,2020-03-25
Maine,3/25/20,0,2020-03-25
Maryland,3/25/20,0,2020-03-25
